policy,target_index,target_x,target_y,steps,total_reward,final_distance,success_3cm,success_1cm,total_action
untrained_random,1,0.65,0.55,100,-86.57329831678292,1.147308220698285,False,False,79.85294663839292
untrained_random,2,0.3,0.8,100,-118.69160624182693,1.2874268768603634,False,False,76.1051467678592
untrained_random,3,0.8,0.3,100,-27.417418088247107,0.3442737522935755,False,False,80.01438775464581
untrained_random,4,0.55,0.65,100,-82.79795558800815,0.9487609372251095,False,False,76.67928827907956
untrained_random,5,0.2,0.7,100,-119.52004491654242,1.3127931134796147,False,False,81.39976839054732
untrained_random,6,-0.2,0.7,100,-121.60942268422238,1.1493119489332797,False,False,83.70187639021887
untrained_random,7,-0.45,0.55,100,-161.34525697688,1.6659998289817972,False,False,78.13695366810417
untrained_random,8,-0.65,0.3,100,-174.82540948039053,1.75168712437797,False,False,75.17667599964689
untrained_random,9,0.9,0.1,100,-17.055594243714538,0.1443518738900426,False,False,78.24108922737226
untrained_random,10,0.1,0.9,100,-131.8226350474751,1.4455069451332314,False,False,79.2902225581896
untrained_random,11,0.45,0.2,100,-59.5255582157864,0.5646438467622399,False,False,79.08423263870098
untrained_random,12,0.2,0.45,100,-96.18846685158465,0.9892043446107486,False,False,76.4596620070871
untrained_random,13,-0.2,0.45,100,-126.95301779088346,1.2367579151942292,False,False,76.74267380455075
untrained_random,14,-0.45,0.2,100,-146.74420141341992,1.4785691473679037,False,False,77.52578407067567
untrained_random,15,0.7,0.45,100,-68.60698898544942,1.066580789689168,False,False,79.66418868378166
untrained_random,16,0.45,0.7,100,-62.92032435662027,0.1730480166800515,False,False,71.4872381195892
untrained_random,17,-0.45,0.7,100,-155.08192125280007,1.4812274871800253,False,False,76.12667080072572
untrained_random,18,-0.7,0.45,100,-167.3296783899387,1.6158294844190142,False,False,78.3078636094666
untrained_random,19,0.35,0.35,100,-73.02152831944149,0.7432919858993327,False,False,73.16210840928267
untrained_random,20,-0.35,0.35,100,-147.049647509561,1.4840623112441038,False,False,76.9282595930359
ppo,1,0.65,0.55,100,-50.456657565755336,0.946714218264692,False,False,86.39144056106738
ppo,2,0.3,0.8,23,-14.948043751700737,0.029930693946969632,True,False,24.83972699427449
