epoch,train_loss,validation_loss
1,0.1190339041352272,0.10929027885198593
2,0.11034121626615524,0.10815214037895203
3,0.10729633200168609,0.0943212240934372
4,0.05903520238399505,0.033062198907136915
5,0.027687199510633944,0.022196844071149826
6,0.019873287752270697,0.016735462695360182
7,0.015559692949056625,0.014391115382313729
8,0.013018486745655537,0.011927840299904346
9,0.01132254682481289,0.011092102788388729
10,0.010313843354582786,0.010332147795706988
11,0.009150730732828379,0.010029058568179608
12,0.008194456018507481,0.009347396530210971
13,0.007445715786889196,0.009141292590647936
14,0.0067840191628783944,0.007930274419486523
15,0.006330626115202903,0.008188934568315744
16,0.006124799776822329,0.007646799273788929
17,0.005307131513953209,0.00701337814796716
18,0.0055104102827608584,0.007558436831459403
19,0.005097016021609307,0.006671661417931319
20,0.004457191759720445,0.006164099290035665
21,0.0041715002283453945,0.005800880144815892
22,0.0038786448091268537,0.005711830910295248
23,0.0036777438651770353,0.005341902470681816
24,0.003376920886337757,0.00539814499206841
25,0.0035190572957508265,0.005692947073839605
26,0.0030570220104418695,0.004910416128113866
27,0.003017431424930692,0.005245882458984852
28,0.002857900695875287,0.004863784043118357
29,0.0026226096600294115,0.005034321378916502
30,0.002615387137979269,0.0047786401514895264
